,Actual,Predicted
68262,0,0.0
378603,0,0.0
164662,0,0.0
212234,0,0.0
266131,0,0.0
203639,0,0.0
1365,0,0.0
280639,0,0.0
250786,0,0.0
220499,0,0.0
18626,0,0.0
363916,0,0.0
347283,0,0.0
117098,0,0.0
24021,0,0.0
257246,0,0.0
237034,0,0.0
263047,0,0.0
348619,0,0.0
114172,0,0.0
56371,1,1.0
248142,0,0.0
103539,0,0.0
236362,0,0.0
119555,0,0.0
17765,0,0.0
201621,0,0.0
187501,0,0.0
365536,0,0.0
214287,0,0.0
141956,0,0.0
82794,0,0.0
325632,0,0.0
315631,0,0.0
190035,0,0.0
297888,0,0.0
189091,0,0.0
225222,0,0.0
160800,0,0.0
170124,0,0.0
77219,0,0.0
154033,0,0.0
25146,0,0.0
189261,0,0.0
80327,0,0.0
147525,0,0.0
179053,0,0.0
147424,0,0.0
154168,0,0.0
370863,0,0.0
316167,0,0.0
384752,0,0.0
69174,0,0.0
316201,0,0.0
132881,0,0.0
349423,0,0.0
262208,0,0.0
332990,0,0.0
126544,0,0.0
133277,0,0.0
260264,0,0.0
178461,0,0.0
352073,0,0.0
125907,0,0.0
2524,0,0.0
116602,0,0.0
248854,0,0.0
366248,0,0.0
315818,0,0.0
177712,0,0.0
200936,0,0.0
371113,0,0.0
84303,0,0.0
290353,0,0.0
236944,0,0.0
331596,0,0.0
238200,0,0.0
169926,0,0.0
350596,0,0.0
353670,0,0.0
242811,0,0.0
138774,0,0.0
85611,0,0.0
238110,0,0.0
9696,0,0.0
280701,0,0.0
94360,0,0.0
182393,0,0.0
364992,0,0.0
2002,0,0.0
132758,0,0.0
47168,0,0.0
6934,0,0.0
155571,0,0.0
65047,0,0.0
229784,0,0.0
111031,0,0.0
151573,0,0.0
5275,0,0.0
378955,0,0.0
84179,0,0.0
203718,0,0.0
127022,0,0.0
150228,0,0.0
184776,0,0.0
297755,0,0.0
237603,0,0.0
83962,0,0.0
180222,0,0.0
233226,0,0.0
321439,0,0.0
196963,0,0.0
206619,0,0.0
256025,0,0.0
109952,0,0.0
89944,0,0.0
61020,0,0.0
106369,0,0.0
115303,0,0.0
243033,0,0.0
37113,0,0.0
141039,0,0.0
52838,0,0.0
344285,0,0.0
267630,0,0.0
211957,0,0.0
151844,0,0.0
228940,0,0.0
100881,0,0.0
286812,0,0.0
228608,0,0.0
281466,0,0.0
134785,0,0.0
69895,0,0.0
193275,0,0.0
228092,0,0.0
45518,0,0.0
334271,0,0.0
195248,0,0.0
276078,0,0.0
105654,0,0.0
218757,0,0.0
32862,0,0.0
347341,0,0.0
352482,0,0.0
88913,0,0.0
83399,0,0.0
359252,0,0.0
72780,0,0.0
81427,0,0.0
44729,0,0.0
284369,0,0.0
218593,0,0.0
90430,0,0.0
189168,0,0.0
267807,0,0.0
368213,0,0.0
170250,0,0.0
146410,0,0.0
350679,0,0.0
224032,0,0.0
66249,0,0.0
344603,0,0.0
176309,0,0.0
44082,0,0.0
375586,0,0.0
8520,0,0.0
180082,0,0.0
239346,0,0.0
29168,0,0.0
259084,0,0.0
330838,0,0.0
189178,0,0.0
131730,0,0.0
156918,0,0.0
126972,0,0.0
55011,0,0.0
156538,0,0.0
236372,0,0.0
155794,0,0.0
153092,0,0.0
63241,0,0.0
36298,0,0.0
251646,0,0.0
203996,0,0.0
175349,0,0.0
327310,0,0.0
119116,0,0.0
310447,0,0.0
145518,0,0.0
128687,0,0.0
190259,0,0.0
225716,0,0.0
219179,0,0.0
320449,0,0.0
221323,0,0.0
346628,0,0.0
371005,0,0.0
215365,0,0.0
95258,0,0.0
318052,0,0.0
217699,0,0.0
16582,0,0.0
34249,0,0.0
301291,0,0.0
380417,0,0.0
133414,0,0.0
118270,0,0.0
37109,0,0.0
174859,0,0.0
186325,0,0.0
283853,1,0.0
360234,0,0.0
341988,0,0.0
353289,0,0.0
233024,0,0.0
360543,0,0.0
325454,0,0.0
143871,0,0.0
304838,0,0.0
79019,0,0.0
284082,0,0.0
105278,0,0.0
272917,0,0.0
188534,0,0.0
247570,0,0.0
253634,0,0.0
375119,0,0.0
205246,0,0.0
240672,0,0.0
40402,0,0.0
253576,0,0.0
378869,0,0.0
124754,0,0.0
57835,0,0.0
117594,0,0.0
21081,0,0.0
135011,0,0.0
194258,0,0.0
151151,0,0.0
1293,0,0.0
289988,0,0.0
219627,0,0.0
1985,0,0.0
343741,0,0.0
107585,0,0.0
59535,0,0.0
223915,0,0.0
243140,0,0.0
370837,0,0.0
15286,0,0.0
199861,0,0.0
116808,0,0.0
333750,0,0.0
196677,0,0.0
184258,0,0.0
335463,0,0.0
224364,0,0.0
70761,0,0.0
94794,0,0.0
136310,0,0.0
257392,0,0.0
357988,0,0.0
21505,0,0.0
55920,0,0.0
216196,0,0.0
157179,0,0.0
96247,0,0.0
325488,0,0.0
101474,0,0.0
328439,0,0.0
162154,0,0.0
308071,0,0.0
160435,0,0.0
278233,0,0.0
302732,0,0.0
373388,0,0.0
84629,0,0.0
2420,0,0.0
59345,0,0.0
289312,0,0.0
65266,0,0.0
385256,0,0.0
110808,0,0.0
280989,0,0.0
171093,0,0.0
213783,0,0.0
366577,0,0.0
347434,0,0.0
319071,0,0.0
199959,0,0.0
368561,0,0.0
221555,0,0.0
118242,0,0.0
383745,0,0.0
360803,0,0.0
298003,0,0.0
30963,0,0.0
160287,0,0.0
224851,0,0.0
191670,0,0.0
377270,0,0.0
